,Frame,Alt,Speed
0,00193,0.0,0.0
1,00199,0.0,0.0
2,00205,0.0,0.0
3,00211,0.0,0.0
4,00217,0.0,0.0
5,00223,0.0,0.0
6,00229,0.0,0.0
7,00235,0.0,0.0
8,00241,0.0,1.0
9,00247,0.0,1.0
10,00253,0.0,2.0
11,00259,0.0,2.0
12,00265,0.0,3.0
13,00271,0.0,4.0
14,00277,0.0,4.0
15,00283,0.0,5.0
16,00289,0.0,6.0
17,00295,0.0,7.0
18,00301,0.0,7.0
19,00307,0.0,6.0
20,00313,0.0,9.0
21,00319,0.0,9.0
22,00325,0.0,10.0
23,00331,0.0,11.0
24,00337,0.0,11.0
25,00343,0.0,12.0
26,00349,0.0,13.0
27,00355,0.0,14.0
28,00361,0.0,14.0
29,00367,0.0,15.0
30,00373,0.0,16.0
31,00379,0.0,17.0
32,00385,0.0,17.0
33,00391,0.0,16.0
34,00397,0.0,19.0
35,00403,0.0,20.0
36,00409,0.0,21.0
37,00415,0.0,22.0
38,00421,0.0,23.0
39,00427,0.0,23.0
40,00433,0.0,24.0
41,00439,0.0,25.0
42,00445,0.0,26.0
43,00451,0.0,27.0
44,00457,0.0,26.0
45,00463,0.0,29.0
46,00469,0.0,29.0
47,00475,0.0,30.0
48,00481,0.0,31.0
49,00487,0.0,32.0
50,00493,0.0,33.0
51,00499,0.0,34.0
52,00505,0.0,35.0
53,00511,0.0,36.0
54,00517,0.0,36.0
55,00523,0.0,37.0
56,00529,0.0,36.0
57,00535,0.0,39.0
58,00541,0.0,40.0
59,00547,0.0,41.0
60,00553,0.0,42.0
61,00559,0.0,43.0
62,00565,0.0,44.0
63,00571,0.0,44.0
64,00577,0.0,46.0
65,00583,0.0,46.0
66,00589,0.0,47.0
67,00595,0.0,46.0
68,00601,0.0,49.0
69,00607,0.0,50.0
70,00613,0.0,51.0
71,00619,0.0,52.0
72,00625,0.0,53.0
73,00631,0.0,54.0
74,00637,0.0,55.0
75,00643,0.0,56.0
76,00649,0.0,57.0
77,00655,0.1,56.0
78,00661,0.4,59.0
79,00667,0.6000000000000001,60.0
80,00673,0.7000000000000001,61.0
81,00679,0.6000000000000001,62.0
82,00685,0.9,63.0
83,00691,0.9,64.0
84,00697,0.9,65.0
85,00703,1.0,66.0
86,00709,1.0,67.0
87,00715,1.0,66.0
88,00721,1.0,69.0
89,00727,1.0,70.0
90,00733,1.0,71.0
91,00739,1.0,72.0
92,00745,1.0,73.0
93,00751,1.0,74.0
94,00757,1.0,75.0
95,00763,1.0,75.0
96,00769,1.0,76.0
97,00775,1.0,77.0
98,00781,1.0,76.0
99,00787,1.0,79.0
100,00793,1.0,60.0
101,00799,1.0,61.0
102,00805,1.0,62.0
103,00811,1.0,63.0
104,00817,1.0,63.0
105,00823,1.0,64.0
106,00829,1.0,65.0
107,00835,1.0,66.0
108,00841,1.0,67.0
109,00847,1.0,66.0
110,00853,1.0,69.0
111,00859,1.0,90.0
112,00865,1.0,91.0
113,00871,1.0,92.0
114,00877,1.0,93.0
115,00883,1.0,94.0
116,00889,1.0,95.0
117,00895,1.0,96.0
118,00901,1.0,97.0
119,00907,1.0,96.0
120,00913,1.0,99.0
121,00919,1.0,100.0
122,00925,1.0,100.0
123,00931,1.0,101.0
124,00937,1.0,102.0
125,00943,1.0,103.0
126,00949,1.0,104.0
127,00955,1.0,105.0
128,00961,1.0,106.0
129,00967,1.0,107.0
130,00973,1.0,106.0
131,00979,1.0,109.0
132,00985,1.1,110.0
133,00991,1.3,111.0
